Grade level,Field,Study Duration,Study Method,Break Frequency,Break Duration,Study Time,Study Technique,Grade
Senior,Computer Science,1-2 hours,solo study,Every 1 hour,10–20 minutes,Evening,Watching videos,A
Junior,Information Science,Less than 1 hour,Both,Every 30 minutes,More than 20 minutes,night,Watching videos,C
Senior,Cs,Less than 1 hour,Both,I don’t take breaks,More than 20 minutes,Morning,Reading textbooks,A
Senior,Information science,Less than 1 hour,Both,Every 1 hour,10–20 minutes,night,Taking notes,B
Senior,Computer Science,Less than 1 hour,Both,Every 30 minutes,More than 20 minutes,night,Watching videos,C
Senior,Computer science,Less than 1 hour,solo study,Every 2 hours,More than 20 minutes,Evening,Watching videos,A
Senior,Computer Science,Less than 1 hour,Both,I don’t take breaks,Less than 5 minutes,night,Taking notes,B
Senior,Computer science,1-2 hours,Both,Every 30 minutes,10–20 minutes,Evening,Watching videos,B
Freshman,Computer science,1-2 hours,Both,Every 30 minutes,More than 20 minutes,night,Taking notes,B
Junior,information science,Less than 1 hour,solo study,Every 30 minutes,More than 20 minutes,night,Watching videos,B
Senior,Computer science,1-2 hours,Both,Every 1 hour,5–10 minutes,night,Taking notes,B
Senior,Information science,Less than 1 hour,Both,Every 30 minutes,More than 20 minutes,night,Reading textbooks,A
Senior,Computer science,1-2 hours,Both,Every 1 hour,5–10 minutes,night,Taking notes,C
Junior,Information Science,Less than 1 hour,solo study,Every 1 hour,Less than 5 minutes,night,Taking notes,A
Junior,Computer Science,Less than 1 hour,Both,Every 30 minutes,10–20 minutes,night,Watching videos,B
Junior,Information science,2–4 hours,solo study,Every 1 hour,5–10 minutes,Evening,Taking notes,B
Graduate,Information science,1-2 hours,Both,Every 1 hour,5–10 minutes,Evening,Watching videos,C
Graduate,Information Science,1-2 hours,Both,Every 30 minutes,5–10 minutes,Evening,Watching videos,A
Junior,computer science,1-2 hours,solo study,Every 30 minutes,10–20 minutes,Evening,Taking notes,A
Freshman,Information science,Less than 1 hour,group study,Every 1 hour,More than 20 minutes,night,Taking notes,C
Senior,Information science,Less than 1 hour,solo study,Every 30 minutes,5–10 minutes,Morning,Watching videos,B
Junior,Computer science,Less than 1 hour,solo study,Every 2 hours,10–20 minutes,night,Taking notes,B
Junior,Information Science,1-2 hours,solo study,Every 30 minutes,5–10 minutes,night,Taking notes,A
Junior,Computer Science,4–6 hours,solo study,Every 30 minutes,5–10 minutes,night,Watching videos,B
Junior,Information Science,Less than 1 hour,Both,Every 30 minutes,More than 20 minutes,night,Group discussions,D
Freshman,Computer,4–6 hours,Both,I don’t take breaks,More than 20 minutes,night,Reading textbooks,F
Senior,Information Science,1-2 hours,solo study,Every 30 minutes,5–10 minutes,Evening,Reading textbooks,B
Junior,informaion science,1-2 hours,Both,Every 30 minutes,10–20 minutes,Morning,Taking notes,B
Junior,Information science,1-2 hours,solo study,Every 30 minutes,5–10 minutes,night,Watching videos,B
Senior,Computer science,2–4 hours,Both,Every 1 hour,5–10 minutes,Evening,Taking notes,C
Junior,Information science,1-2 hours,Both,Every 1 hour,10–20 minutes,night,Taking notes,B
